Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4091.27          219833.87             3016.59              120.58             1074.68                0.20



Scenario           Profit              Sales               Leftover_inv        demand
s133           247228.78                    3290.54              800.73             3290.54
s134           327301.63                    4091.27                0.00             4304.49
s135           170076.75                    2519.02             1572.25             2519.02
s136           226230.18                    3080.56             1010.71             3080.56
s137           327301.63                    4091.27                0.00             4784.99
s138           229017.21                    3108.43              982.84             3108.43
s139           327301.63                    4091.27                0.00             4328.83
s140           165399.44                    2472.25             1619.02             2472.25
s141           315834.85                    3976.60              114.67             3976.60
s142           287974.27                    3698.00              393.27             3698.00
s143           327301.63                    4091.27                0.00             4542.86
s144            -5463.89                     763.62             3327.66              763.62
s145            36669.83                    1184.95             2906.32             1184.95
s146           188143.51                    2699.69             1391.58             2699.69
s147           280809.11                    3626.35              464.93             3626.35
s148           327301.63                    4091.27                0.00             4781.35
s149           327301.63                    4091.27                0.00             4151.54
s150           300964.25                    3827.90              263.37             3827.90
s151           201120.57                    2829.46             1261.81             2829.46
s152            74715.08                    1565.40             2525.87             1565.40
s153            92402.87                    1742.28             2348.99             1742.28
s154           327301.63                    4091.27                0.00             4234.46
s155           150329.38                    2321.55             1769.72             2321.55
s156           155734.47                    2375.60             1715.67             2375.60
s157           276116.39                    3579.42              511.85             3579.42
s158           210106.03                    2919.31             1171.96             2919.31
s159           195347.68                    2771.73             1319.54             2771.73
s160           293230.78                    3750.56              340.71             3750.56
s161           327301.63                    4091.27                0.00             4494.94
s162           177243.79                    2590.69             1500.58             2590.69
s163           105303.84                    1871.29             2219.98             1871.29
s164           327178.91                    4090.04                1.23             4090.04
s165           215130.86                    2969.56             1121.71             2969.56
s166           236753.18                    3185.79              905.48             3185.79
s167           266164.06                    3479.89              611.38             3479.89
s168           142116.60                    2239.42             1851.85             2239.42
s169           293102.39                    3749.28              341.99             3749.28
s170           138739.56                    2205.65             1885.62             2205.65
s171           226411.01                    3082.36             1008.91             3082.36
s172            98174.22                    1800.00             2291.27             1800.00
s173           327301.63                    4091.27                0.00             4267.36
s174           327301.63                    4091.27                0.00             6307.64
s175           327301.63                    4091.27                0.00             4548.85
s176           162517.96                    2443.43             1647.84             2443.43
s177           313971.21                    3957.97              133.30             3957.97
s178           267510.81                    3493.36              597.91             3493.36
s179           214292.78                    2961.18             1130.09             2961.18
s180           291896.20                    3737.22              354.05             3737.22
s181           327301.63                    4091.27                0.00             4514.19
s182           253463.20                    3352.89              738.38             3352.89
s183           275567.74                    3573.93              517.34             3573.93
s184           327301.63                    4091.27                0.00             5024.76
s185           218001.60                    2998.27             1093.00             2998.27
s186           291408.39                    3732.34              358.93             3732.34
s187           -67421.51                     144.04             3947.23              144.04
s188           327301.63                    4091.27                0.00             5122.31
s189           187322.71                    2691.48             1399.79             2691.48
s190           220795.48                    3026.21             1065.06             3026.21
s191           287049.19                    3688.75              402.52             3688.75
s192           245579.25                    3274.05              817.22             3274.05
s193           269206.00                    3510.31              580.96             3510.31
s194            51688.75                    1335.14             2756.13             1335.14
s195           282688.65                    3645.14              446.13             3645.14
s196           197941.31                    2797.67             1293.60             2797.67
s197           241690.54                    3235.16              856.11             3235.16
s198           236345.42                    3181.71              909.56             3181.71
s199           322428.17                    4042.54               48.73             4042.54
s200            71408.67                    1532.34             2558.93             1532.34
s201           175714.67                    2575.40             1515.87             2575.40
s202           294660.07                    3764.85              326.42             3764.85
s203           194163.44                    2759.89             1331.38             2759.89
s204           221109.99                    3029.35             1061.92             3029.35
s205           247516.83                    3293.42              797.85             3293.42
s206           325331.09                    4071.56               19.71             4071.56
s207           327301.63                    4091.27                0.00             4144.28
s208           169463.18                    2512.89             1578.38             2512.89
s209           321087.64                    4029.13               62.14             4029.13
s210           173205.64                    2550.31             1540.96             2550.31
s211           179745.79                    2615.71             1475.56             2615.71
s212           183559.90                    2653.85             1437.42             2653.85
s213           210973.35                    2927.99             1163.28             2927.99
s214           163282.02                    2451.07             1640.20             2451.07
s215           327301.63                    4091.27                0.00             4275.19
s216           327301.63                    4091.27                0.00             4567.11
s217           327301.63                    4091.27                0.00             4616.65
s218           137983.38                    2198.09             1893.18             2198.09
s219           310398.56                    3922.24              169.03             3922.24
s220           327301.63                    4091.27                0.00             4843.11
s221           150491.61                    2323.17             1768.10             2323.17
s222           170477.73                    2523.03             1568.24             2523.03
s223           196795.20                    2786.21             1305.06             2786.21
s224           226062.07                    3078.87             1012.40             3078.87
s225           327301.63                    4091.27                0.00             4501.35
s226           281072.58                    3628.98              462.29             3628.98
s227           150584.17                    2324.10             1767.17             2324.10
s228           129193.19                    2110.19             1981.08             2110.19
s229           229620.69                    3114.46              976.81             3114.46
s230           327301.63                    4091.27                0.00             4367.70
s231           120450.08                    2022.75             2068.52             2022.75
s232           238988.00                    3208.13              883.14             3208.13
s233           255833.13                    3376.59              714.69             3376.59
s234           260441.09                    3422.66              668.61             3422.66
s235           227464.07                    3092.89              998.38             3092.89
s236           133849.26                    2156.75             1934.52             2156.75
s237            69193.99                    1510.19             2581.08             1510.19
s238           189641.18                    2714.67             1376.60             2714.67
s239           237802.41                    3196.28              894.99             3196.28
s240           178919.70                    2607.45             1483.82             2607.45
s241           121460.11                    2032.86             2058.42             2032.86
s242           291600.81                    3734.26              357.01             3734.26
s243           254935.13                    3367.61              723.66             3367.61
s244           298375.05                    3802.00              289.27             3802.00
s245           193233.97                    2750.59             1340.68             2750.59
s246           209957.71                    2917.83             1173.44             2917.83
s247           234664.83                    3164.90              926.37             3164.90
s248           292534.66                    3743.60              347.67             3743.60
s249           137385.81                    2192.11             1899.16             2192.11
s250           241024.25                    3228.50              862.77             3228.50
s251           231905.22                    3137.31              953.96             3137.31
s252           115659.72                    1974.85             2116.42             1974.85
s253           235926.61                    3177.52              913.75             3177.52
s254           214046.40                    2958.72             1132.55             2958.72
s255           297971.31                    3797.97              293.30             3797.97
s256           144175.45                    2260.01             1831.26             2260.01
s257           198161.72                    2799.87             1291.40             2799.87
s258           134905.26                    2167.31             1923.96             2167.31
s259           302837.36                    3846.63              244.64             3846.63
s260           327301.63                    4091.27                0.00             4091.40
s261           294861.36                    3766.87              324.40             3766.87
s262           161042.45                    2428.68             1662.59             2428.68
s263           327301.63                    4091.27                0.00             4661.93
s264           173024.42                    2548.50             1542.77             2548.50
s265           297348.24                    3791.74              299.53             3791.74
s266           153939.38                    2357.65             1733.62             2357.65
s267           229716.63                    3115.42              975.85             3115.42
s268           146950.65                    2287.76             1803.51             2287.76
s269           203243.65                    2850.69             1240.58             2850.69
s270           140803.44                    2226.29             1864.98             2226.29
s271            95089.86                    1769.15             2322.12             1769.15
s272           154647.18                    2364.73             1726.54             2364.73
s273           262233.38                    3440.59              650.68             3440.59
s274            92465.12                    1742.91             2348.37             1742.91
s275           304239.01                    3860.64              230.63             3860.64
s276           255086.89                    3369.12              722.15             3369.12
s277           193723.24                    2755.49             1335.78             2755.49
s278           139466.81                    2212.92             1878.35             2212.92
s279           327301.63                    4091.27                0.00             4132.07
s280           327301.63                    4091.27                0.00             4502.04
s281           161215.91                    2430.41             1660.86             2430.41
s282            53309.02                    1351.34             2739.93             1351.34
s283           143692.28                    2255.18             1836.09             2255.18
s284           327301.63                    4091.27                0.00             4902.12
s285           293767.29                    3755.93              335.34             3755.93
s286           300737.50                    3825.63              265.64             3825.63
s287           231775.81                    3136.01              955.26             3136.01
s288           118295.61                    2001.21             2090.06             2001.21
s289           185331.29                    2671.57             1419.70             2671.57
s290           321835.77                    4036.61               54.66             4036.61
s291           125900.70                    2077.26             2014.01             2077.26
s292           298116.16                    3799.42              291.85             3799.42
s293           327301.63                    4091.27                0.00             4098.48
s294           276370.30                    3581.96              509.31             3581.96
s295           -46187.43                     356.38             3734.89              356.38
s296           136594.97                    2184.20             1907.07             2184.20
s297           327301.63                    4091.27                0.00             4192.43
s298           282402.36                    3642.28              448.99             3642.28
s299           303914.10                    3857.40              233.88             3857.40
s300           217314.80                    2991.40             1099.87             2991.40
s301           327301.63                    4091.27                0.00             4327.46
s302           272965.71                    3547.91              543.36             3547.91
s303           136274.64                    2181.00             1910.27             2181.00
s304           327301.63                    4091.27                0.00             4400.82
s305           134169.20                    2159.95             1931.32             2159.95
s306           246941.42                    3287.67              803.60             3287.67
s307            -1452.44                     803.73             3287.54              803.73
s308           165107.53                    2469.33             1621.94             2469.33
s309            36769.25                    1185.95             2905.32             1185.95
s310           327301.63                    4091.27                0.00             4643.70
s311           269777.61                    3516.03              575.24             3516.03
s312           109125.37                    1909.51             2181.76             1909.51
s313           184623.36                    2664.49             1426.78             2664.49
s314           327301.63                    4091.27                0.00             4877.15
s315           233937.00                    3157.62              933.65             3157.62
s316           115314.67                    1971.40             2119.87             1971.40
s317            61080.29                    1429.06             2662.21             1429.06
s318           289411.50                    3712.37              378.90             3712.37
s319           201462.85                    2832.88             1258.39             2832.88
s320           127918.30                    2097.44             1993.83             2097.44
s321           317022.01                    3988.47              102.80             3988.47
s322           284327.14                    3661.53              429.74             3661.53
s323           319364.04                    4011.89               79.38             4011.89
