Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     1612.68          124385.13             1566.39             1570.79               46.29                0.92            82725.06



Scenario           Profit              Sales               Leftover_inv        demand
s135           129014.02                    1612.68                0.00             2519.02
s136           129014.02                    1612.68                0.00             3080.56
s137           129014.02                    1612.68                0.00             4784.99
s138           129014.02                    1612.68                0.00             3108.43
s139           129014.02                    1612.68                0.00             4328.83
s140           129014.02                    1612.68                0.00             2472.25
s141           129014.02                    1612.68                0.00             3976.60
s142           129014.02                    1612.68                0.00             3698.00
s143           129014.02                    1612.68                0.00             4542.86
s144            44108.01                     763.62              849.06              763.62
s145            86241.73                    1184.95              427.72             1184.95
s146           129014.02                    1612.68                0.00             2699.69
s147           129014.02                    1612.68                0.00             3626.35
s148           129014.02                    1612.68                0.00             4781.35
s149           129014.02                    1612.68                0.00             4151.54
s150           129014.02                    1612.68                0.00             3827.90
s151           129014.02                    1612.68                0.00             2829.46
s152           124286.98                    1565.40               47.27             1565.40
s153           129014.02                    1612.68                0.00             1742.28
s154           129014.02                    1612.68                0.00             4234.46
s155           129014.02                    1612.68                0.00             2321.55
s156           129014.02                    1612.68                0.00             2375.60
s157           129014.02                    1612.68                0.00             3579.42
s158           129014.02                    1612.68                0.00             2919.31
s159           129014.02                    1612.68                0.00             2771.73
s160           129014.02                    1612.68                0.00             3750.56
s161           129014.02                    1612.68                0.00             4494.94
s162           129014.02                    1612.68                0.00             2590.69
s163           129014.02                    1612.68                0.00             1871.29
s164           129014.02                    1612.68                0.00             4090.04
s165           129014.02                    1612.68                0.00             2969.56
s166           129014.02                    1612.68                0.00             3185.79
s167           129014.02                    1612.68                0.00             3479.89
s168           129014.02                    1612.68                0.00             2239.42
s169           129014.02                    1612.68                0.00             3749.28
s170           129014.02                    1612.68                0.00             2205.65
s171           129014.02                    1612.68                0.00             3082.36
s172           129014.02                    1612.68                0.00             1800.00
s173           129014.02                    1612.68                0.00             4267.36
s174           129014.02                    1612.68                0.00             6307.64
