Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4188.37          222367.67             3061.35              131.30             1127.02                0.20



Scenario           Profit              Sales               Leftover_inv        demand
s1             235057.67                    3188.25             1000.12             3188.25
s2             300118.69                    3838.86              349.51             3838.86
s3              71500.50                    1552.68             2635.69             1552.68
s4             232526.72                    3162.94             1025.43             3162.94
s5              76817.70                    1605.85             2582.52             1605.85
s6             164315.55                    2480.83             1707.54             2480.83
s7             272623.78                    3563.91              624.46             3563.91
s8             106952.89                    1907.20             2281.17             1907.20
s9             313712.73                    3974.80              213.57             3974.80
s10            -83767.37                       0.00             4188.37                0.00
s11            187776.35                    2715.44             1472.93             2715.44
s12            117970.76                    2017.38             2170.99             2017.38
s13            182456.72                    2662.24             1526.13             2662.24
s14            335069.48                    4188.37                0.00             4485.04
s15            195018.24                    2787.86             1400.51             2787.86
s16            162958.23                    2467.26             1721.11             2467.26
s17            335069.48                    4188.37                0.00             4192.53
s18            203232.54                    2870.00             1318.37             2870.00
s19            185191.70                    2689.59             1498.78             2689.59
s20            168873.70                    2526.41             1661.96             2526.41
s21            325359.67                    4091.27               97.10             4091.27
s22            246997.79                    3307.65              880.72             3307.65
s23            335069.48                    4188.37                0.00             4714.17
s24             52919.28                    1366.87             2821.50             1366.87
s25            334488.94                    4182.56                5.81             4182.56
s26            -79001.98                      47.65             4140.71               47.65
s27            302917.66                    3866.85              321.52             3866.85
s28            321129.32                    4048.97              139.40             4048.97
s29            325291.47                    4090.59               97.78             4090.59
s30            335069.48                    4188.37                0.00             4408.84
s31            249083.81                    3328.51              859.86             3328.51
s32            246413.74                    3301.81              886.56             3301.81
s33            303680.43                    3874.48              313.89             3874.48
s34            306975.42                    3907.43              280.94             3907.43
s35            212475.04                    2962.42             1225.94             2962.42
s36            230362.86                    3141.30             1047.07             3141.30
s37            281043.47                    3648.11              540.26             3648.11
s38            284342.79                    3681.10              507.27             3681.10
s39            335069.48                    4188.37                0.00             5003.22
s40            254075.17                    3378.43              809.94             3378.43
s41            335069.48                    4188.37                0.00             5107.10
s42            103035.43                    1868.03             2320.34             1868.03
s43            189860.46                    2736.28             1452.09             2736.28
s44            -62160.98                     216.06             3972.30              216.06
s45            201761.65                    2855.29             1333.08             2855.29
s46             77560.41                    1613.28             2575.09             1613.28
s47            106620.73                    1903.88             2284.49             1903.88
s48            231128.45                    3148.96             1039.41             3148.96
s49            335069.48                    4188.37                0.00             4403.85
s50            312687.38                    3964.55              223.82             3964.55
s51            208831.82                    2925.99             1262.38             2925.99
s52            335069.48                    4188.37                0.00             4750.87
s53            105071.85                    1888.39             2299.98             1888.39
s54            162189.81                    2459.57             1728.80             2459.57
s55            177959.46                    2617.27             1571.10             2617.27
s56            145038.42                    2288.06             1900.31             2288.06
s57            274742.50                    3585.10              603.27             3585.10
s58            335069.48                    4188.37                0.00             4368.33
s59            335069.48                    4188.37                0.00             4971.11
s60             59031.73                    1427.99             2760.38             1427.99
s61            335069.48                    4188.37                0.00             4248.76
s62            328332.69                    4121.00               67.37             4121.00
s63            110965.11                    1947.32             2241.04             1947.32
s64             88271.34                    1720.39             2467.98             1720.39
s65            335069.48                    4188.37                0.00             4508.10
s66            190758.90                    2745.26             1443.11             2745.26
s67            156314.48                    2400.82             1787.55             2400.82
s68            236426.01                    3201.93              986.43             3201.93
s69            154126.36                    2378.94             1809.43             2378.94
s70            165364.52                    2491.32             1697.05             2491.32
s71            171363.77                    2551.31             1637.06             2551.31
s72            175559.14                    2593.27             1595.10             2593.27
s73            335069.48                    4188.37                0.00             7010.74
s74            311877.85                    3956.45              231.92             3956.45
s75             93316.38                    1770.84             2417.53             1770.84
s76            303329.75                    3870.97              317.40             3870.97
s77             23098.78                    1068.66             3119.71             1068.66
s78            290838.43                    3746.06              442.31             3746.06
s79            335069.48                    4188.37                0.00             4210.24
s80            305331.17                    3890.99              297.38             3890.99
s81             46820.08                    1305.87             2882.49             1305.87
s82            266060.08                    3498.27              690.09             3498.27
s83            236018.46                    3197.86              990.51             3197.86
s84            117245.28                    2010.13             2178.24             2010.13
s85            138457.42                    2222.25             1966.12             2222.25
s86            173087.72                    2568.55             1619.82             2568.55
s87            287133.89                    3709.01              479.36             3709.01
s88            281757.37                    3655.25              533.12             3655.25
s89            261089.36                    3448.57              739.80             3448.57
s90             95984.63                    1797.52             2390.85             1797.52
s91            335069.48                    4188.37                0.00             4424.47
