Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     3460.04          213636.38             2828.37              308.81              631.67                0.40           192580.81



Scenario           Profit              Sales               Leftover_inv        demand
s134           276803.08                    3460.04                0.00             4304.49
s135           182701.39                    2519.02              941.02             2519.02
s136           238854.82                    3080.56              379.48             3080.56
s137           276803.08                    3460.04                0.00             4784.99
s138           241641.84                    3108.43              351.61             3108.43
s139           276803.08                    3460.04                0.00             4328.83
s140           178024.08                    2472.25              987.79             2472.25
s141           276803.08                    3460.04                0.00             3976.60
s142           276803.08                    3460.04                0.00             3698.00
s143           276803.08                    3460.04                0.00             4542.86
s144             7160.75                     763.62             2696.42              763.62
s145            49294.47                    1184.95             2275.09             1184.95
s146           200768.15                    2699.69              760.35             2699.69
s147           276803.08                    3460.04                0.00             3626.35
s148           276803.08                    3460.04                0.00             4781.35
s149           276803.08                    3460.04                0.00             4151.54
s150           276803.08                    3460.04                0.00             3827.90
s151           213745.21                    2829.46              630.58             2829.46
s152            87339.72                    1565.40             1894.63             1565.40
s153           105027.51                    1742.28             1717.76             1742.28
s154           276803.08                    3460.04                0.00             4234.46
s155           162954.02                    2321.55             1138.49             2321.55
s156           168359.11                    2375.60             1084.44             2375.60
s157           276803.08                    3460.04                0.00             3579.42
s158           222730.67                    2919.31              540.72             2919.31
s159           207972.32                    2771.73              688.31             2771.73
s160           276803.08                    3460.04                0.00             3750.56
s161           276803.08                    3460.04                0.00             4494.94
s162           189868.42                    2590.69              869.35             2590.69
s163           117928.48                    1871.29             1588.75             1871.29
s164           276803.08                    3460.04                0.00             4090.04
s165           227755.49                    2969.56              490.48             2969.56
s166           249377.82                    3185.79              274.25             3185.79
s167           276803.08                    3460.04                0.00             3479.89
s168           154741.24                    2239.42             1220.62             2239.42
s169           276803.08                    3460.04                0.00             3749.28
s170           151364.20                    2205.65             1254.39             2205.65
s171           239035.64                    3082.36              377.67             3082.36
s172           110798.86                    1800.00             1660.04             1800.00
s173           276803.08                    3460.04                0.00             4267.36
s174           276803.08                    3460.04                0.00             6307.64
s175           276803.08                    3460.04                0.00             4548.85
s176           175142.60                    2443.43             1016.60             2443.43
s177           276803.08                    3460.04                0.00             3957.97
s178           276803.08                    3460.04                0.00             3493.36
s179           226917.41                    2961.18              498.86             2961.18
s180           276803.08                    3460.04                0.00             3737.22
s181           276803.08                    3460.04                0.00             4514.19
s182           266087.84                    3352.89              107.15             3352.89
s183           276803.08                    3460.04                0.00             3573.93
s184           276803.08                    3460.04                0.00             5024.76
s185           230626.23                    2998.27              461.77             2998.27
s186           276803.08                    3460.04                0.00             3732.34
s187           -54796.87                     144.04             3316.00              144.04
s188           276803.08                    3460.04                0.00             5122.31
s189           199947.34                    2691.48              768.56             2691.48
s190           233420.12                    3026.21              433.83             3026.21
s191           276803.08                    3460.04                0.00             3688.75
s192           258203.89                    3274.05              185.99             3274.05
s193           276803.08                    3460.04                0.00             3510.31
s194            64313.39                    1335.14             2124.90             1335.14
s195           276803.08                    3460.04                0.00             3645.14
s196           210565.95                    2797.67              662.37             2797.67
s197           254315.18                    3235.16              224.88             3235.16
s198           248970.06                    3181.71              278.33             3181.71
s199           276803.08                    3460.04                0.00             4042.54
s200            84033.31                    1532.34             1927.70             1532.34
s201           188339.31                    2575.40              884.64             2575.40
s202           276803.08                    3460.04                0.00             3764.85
s203           206788.08                    2759.89              700.15             2759.89
s204           233734.63                    3029.35              430.68             3029.35
s205           260141.47                    3293.42              166.62             3293.42
s206           276803.08                    3460.04                0.00             4071.56
s207           276803.08                    3460.04                0.00             4144.28
s208           182087.82                    2512.89              947.15             2512.89
s209           276803.08                    3460.04                0.00             4029.13
s210           185830.28                    2550.31              909.73             2550.31
s211           192370.43                    2615.71              844.33             2615.71
s212           196184.54                    2653.85              806.19             2653.85
s213           223597.99                    2927.99              532.05             2927.99
s214           175906.66                    2451.07             1008.96             2451.07
s215           276803.08                    3460.04                0.00             4275.19
s216           276803.08                    3460.04                0.00             4567.11
s217           276803.08                    3460.04                0.00             4616.65
s218           150608.01                    2198.09             1261.95             2198.09
s219           276803.08                    3460.04                0.00             3922.24
s220           276803.08                    3460.04                0.00             4843.11
s221           163116.25                    2323.17             1136.87             2323.17
s222           183102.37                    2523.03              937.01             2523.03
s223           209419.83                    2786.21              673.83             2786.21
s224           238686.70                    3078.87              381.16             3078.87
s225           276803.08                    3460.04                0.00             4501.35
s226           276803.08                    3460.04                0.00             3628.98
s227           163208.81                    2324.10             1135.94             2324.10
s228           141817.83                    2110.19             1349.85             2110.19
s229           242245.33                    3114.46              345.58             3114.46
s230           276803.08                    3460.04                0.00             4367.70
s231           133074.72                    2022.75             1437.28             2022.75
s232           251612.64                    3208.13              251.90             3208.13
s233           268457.77                    3376.59               83.45             3376.59
s234           273065.72                    3422.66               37.37             3422.66
s235           240088.71                    3092.89              367.14             3092.89
s236           146473.90                    2156.75             1303.29             2156.75
s237            81818.63                    1510.19             1949.84             1510.19
s238           202265.82                    2714.67              745.37             2714.67
s239           250427.05                    3196.28              263.76             3196.28
s240           191544.34                    2607.45              852.59             2607.45
s241           134084.75                    2032.86             1427.18             2032.86
s242           276803.08                    3460.04                0.00             3734.26
s243           267559.77                    3367.61               92.43             3367.61
s244           276803.08                    3460.04                0.00             3802.00
s245           205858.61                    2750.59              709.44             2750.59
s246           222582.35                    2917.83              542.21             2917.83
s247           247289.47                    3164.90              295.14             3164.90
s248           276803.08                    3460.04                0.00             3743.60
s249           150010.45                    2192.11             1267.93             2192.11
s250           253648.89                    3228.50              231.54             3228.50
s251           244529.86                    3137.31              322.73             3137.31
s252           128284.35                    1974.85             1485.19             1974.85
s253           248551.25                    3177.52              282.52             3177.52
s254           226671.04                    2958.72              501.32             2958.72
s255           276803.08                    3460.04                0.00             3797.97
s256           156800.09                    2260.01             1200.03             2260.01
s257           210786.36                    2799.87              660.17             2799.87
s258           147529.90                    2167.31             1292.73             2167.31
s259           276803.08                    3460.04                0.00             3846.63
s260           276803.08                    3460.04                0.00             4091.40
s261           276803.08                    3460.04                0.00             3766.87
s262           173667.09                    2428.68             1031.36             2428.68
s263           276803.08                    3460.04                0.00             4661.93
s264           185649.06                    2548.50              911.54             2548.50
s265           276803.08                    3460.04                0.00             3791.74
s266           166564.02                    2357.65             1102.39             2357.65
s267           242341.27                    3115.42              344.62             3115.42
s268           159575.28                    2287.76             1172.28             2287.76
s269           215868.29                    2850.69              609.35             2850.69
s270           153428.08                    2226.29             1233.75             2226.29
s271           107714.50                    1769.15             1690.89             1769.15
s272           167271.82                    2364.73             1095.31             2364.73
s273           274858.02                    3440.59               19.45             3440.59
s274           105089.76                    1742.91             1717.13             1742.91
s275           276803.08                    3460.04                0.00             3860.64
s276           267711.52                    3369.12               90.92             3369.12
s277           206347.87                    2755.49              704.55             2755.49
s278           152091.45                    2212.92             1247.12             2212.92
s279           276803.08                    3460.04                0.00             4132.07
s280           276803.08                    3460.04                0.00             4502.04
s281           173840.55                    2430.41             1029.63             2430.41
s282            65933.65                    1351.34             2108.69             1351.34
s283           156316.91                    2255.18             1204.86             2255.18
s284           276803.08                    3460.04                0.00             4902.12
s285           276803.08                    3460.04                0.00             3755.93
s286           276803.08                    3460.04                0.00             3825.63
s287           244400.45                    3136.01              324.03             3136.01
s288           130920.25                    2001.21             1458.83             2001.21
s289           197955.92                    2671.57              788.47             2671.57
s290           276803.08                    3460.04                0.00             4036.61
s291           138525.34                    2077.26             1382.78             2077.26
s292           276803.08                    3460.04                0.00             3799.42
s293           276803.08                    3460.04                0.00             4098.48
s294           276803.08                    3460.04                0.00             3581.96
s295           -33562.79                     356.38             3103.66              356.38
s296           149219.61                    2184.20             1275.83             2184.20
s297           276803.08                    3460.04                0.00             4192.43
s298           276803.08                    3460.04                0.00             3642.28
s299           276803.08                    3460.04                0.00             3857.40
s300           229939.43                    2991.40              468.64             2991.40
s301           276803.08                    3460.04                0.00             4327.46
s302           276803.08                    3460.04                0.00             3547.91
s303           148899.28                    2181.00             1279.04             2181.00
s304           276803.08                    3460.04                0.00             4400.82
s305           146793.84                    2159.95             1300.09             2159.95
s306           259566.06                    3287.67              172.37             3287.67
s307            11172.20                     803.73             2656.31              803.73
s308           177732.17                    2469.33              990.71             2469.33
s309            49393.89                    1185.95             2274.09             1185.95
s310           276803.08                    3460.04                0.00             4643.70
s311           276803.08                    3460.04                0.00             3516.03
s312           121750.01                    1909.51             1550.53             1909.51
s313           197248.00                    2664.49              795.55             2664.49
s314           276803.08                    3460.04                0.00             4877.15
s315           246561.63                    3157.62              302.41             3157.62
s316           127939.31                    1971.40             1488.64             1971.40
s317            73704.92                    1429.06             2030.98             1429.06
s318           276803.08                    3460.04                0.00             3712.37
s319           214087.49                    2832.88              627.16             2832.88
s320           140542.93                    2097.44             1362.60             2097.44
s321           276803.08                    3460.04                0.00             3988.47
s322           276803.08                    3460.04                0.00             3661.53
s323           276803.08                    3460.04                0.00             4011.89
s324           276803.08                    3460.04                0.00             4058.98
s325           267343.10                    3365.44               94.60             3365.44
s326           254628.07                    3238.29              221.75             3238.29
s327            39816.96                    1090.18             2369.86             1090.18
s328           112730.17                    1819.31             1640.73             1819.31
s329           276803.08                    3460.04                0.00             3814.09
s330           168366.08                    2375.67             1084.37             2375.67
s331           276803.08                    3460.04                0.00             5231.73
s332           276803.08                    3460.04                0.00             4741.49
s333           276803.08                    3460.04                0.00             4013.90
s334           131773.26                    2009.74             1450.30             2009.74
s335           175496.09                    2446.97             1013.07             2446.97
s336           276803.08                    3460.04                0.00             3625.91
s337           276803.08                    3460.04                0.00             3998.73
s338           276803.08                    3460.04                0.00             4242.66
s339           257701.01                    3269.02              191.02             3269.02
s340           276803.08                    3460.04                0.00             4716.48
s341           276803.08                    3460.04                0.00             3750.90
s342           261749.89                    3309.51              150.53             3309.51
s343           144162.45                    2133.63             1326.41             2133.63
s344            79420.01                    1486.21             1973.83             1486.21
s345           261916.97                    3311.18              148.86             3311.18
s346           276803.08                    3460.04                0.00             3535.61
s347           276803.08                    3460.04                0.00             3813.00
s348           192731.51                    2619.32              840.72             2619.32
s349           135452.68                    2046.53             1413.50             2046.53
s350           216077.28                    2852.78              607.26             2852.78
s351           248746.31                    3179.47              280.57             3179.47
s352           190948.81                    2601.50              858.54             2601.50
s353            81775.85                    1509.77             1950.27             1509.77
s354           276803.08                    3460.04                0.00             3823.64
s355           276803.08                    3460.04                0.00             3571.74
s356           276803.08                    3460.04                0.00             3875.39
s357           276803.08                    3460.04                0.00             4280.25
s358           216003.60                    2852.04              607.99             2852.04
s359           276803.08                    3460.04                0.00             4265.23
s360            13320.50                     825.21             2634.83              825.21
s361            68336.59                    1375.37             2084.66             1375.37
s362           276803.08                    3460.04                0.00             4491.66
s363           172131.58                    2413.32             1046.72             2413.32
s364           124165.67                    1933.66             1526.37             1933.66
s365           276803.08                    3460.04                0.00             3642.06
s366           204687.88                    2738.89              721.15             2738.89
