Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4048.97          217987.18             2989.67              108.96             1059.30                0.20



Scenario           Profit              Sales               Leftover_inv        demand
s1             237845.70                    3188.25              860.72             3188.25
s2             302906.72                    3838.86              210.11             3838.86
s3              74288.53                    1552.68             2496.29             1552.68
s4             235314.75                    3162.94              886.03             3162.94
s5              79605.73                    1605.85             2443.12             1605.85
s6             167103.58                    2480.83             1568.14             2480.83
s7             275411.81                    3563.91              485.06             3563.91
s8             109740.92                    1907.20             2141.76             1907.20
s9             316500.76                    3974.80               74.17             3974.80
s10            -80979.34                       0.00             4048.97                0.00
s11            190564.38                    2715.44             1333.53             2715.44
s12            120758.79                    2017.38             2031.59             2017.38
s13            185244.75                    2662.24             1386.73             2662.24
s14            323917.35                    4048.97                0.00             4485.04
s15            197806.27                    2787.86             1261.11             2787.86
s16            165746.26                    2467.26             1581.71             2467.26
s17            323917.35                    4048.97                0.00             4192.53
s18            206020.57                    2870.00             1178.97             2870.00
s19            187979.73                    2689.59             1359.38             2689.59
s20            171661.73                    2526.41             1522.56             2526.41
s21            323917.35                    4048.97                0.00             4091.27
s22            249785.82                    3307.65              741.32             3307.65
s23            323917.35                    4048.97                0.00             4714.17
s24             55707.31                    1366.87             2682.10             1366.87
s25            323917.35                    4048.97                0.00             4182.56
s26            -76213.95                      47.65             4001.31               47.65
s27            305705.69                    3866.85              182.12             3866.85
s28            323917.35                    4048.97                0.00             4048.97
s29            323917.35                    4048.97                0.00             4090.59
s30            323917.35                    4048.97                0.00             4408.84
s31            251871.84                    3328.51              720.46             3328.51
s32            249201.77                    3301.81              747.16             3301.81
s33            306468.46                    3874.48              174.49             3874.48
s34            309763.45                    3907.43              141.54             3907.43
s35            215263.07                    2962.42             1086.54             2962.42
s36            233150.89                    3141.30              907.66             3141.30
s37            283831.50                    3648.11              400.86             3648.11
s38            287130.82                    3681.10              367.87             3681.10
s39            323917.35                    4048.97                0.00             5003.22
s40            256863.21                    3378.43              670.54             3378.43
s41            323917.35                    4048.97                0.00             5107.10
s42            105823.46                    1868.03             2180.94             1868.03
s43            192648.49                    2736.28             1312.69             2736.28
s44            -59372.95                     216.06             3832.90              216.06
s45            204549.68                    2855.29             1193.68             2855.29
s46             80348.44                    1613.28             2435.69             1613.28
s47            109408.76                    1903.88             2145.09             1903.88
s48            233916.48                    3148.96              900.01             3148.96
s49            323917.35                    4048.97                0.00             4403.85
s50            315475.41                    3964.55               84.42             3964.55
s51            211619.85                    2925.99             1122.98             2925.99
s52            323917.35                    4048.97                0.00             4750.87
s53            107859.88                    1888.39             2160.57             1888.39
s54            164977.84                    2459.57             1589.40             2459.57
s55            180747.49                    2617.27             1431.70             2617.27
s56            147826.45                    2288.06             1760.91             2288.06
s57            277530.53                    3585.10              463.87             3585.10
s58            323917.35                    4048.97                0.00             4368.33
s59            323917.35                    4048.97                0.00             4971.11
s60             61819.76                    1427.99             2620.98             1427.99
s61            323917.35                    4048.97                0.00             4248.76
s62            323917.35                    4048.97                0.00             4121.00
s63            113753.15                    1947.32             2101.64             1947.32
s64             91059.37                    1720.39             2328.58             1720.39
s65            323917.35                    4048.97                0.00             4508.10
s66            193546.93                    2745.26             1303.70             2745.26
s67            159102.51                    2400.82             1648.15             2400.82
s68            239214.04                    3201.93              847.03             3201.93
s69            156914.39                    2378.94             1670.03             2378.94
s70            168152.55                    2491.32             1557.65             2491.32
s71            174151.80                    2551.31             1497.66             2551.31
s72            178347.17                    2593.27             1455.70             2593.27
s73            323917.35                    4048.97                0.00             7010.74
s74            314665.88                    3956.45               92.51             3956.45
s75             96104.41                    1770.84             2278.13             1770.84
s76            306117.78                    3870.97              178.00             3870.97
s77             25886.81                    1068.66             2980.31             1068.66
s78            293626.46                    3746.06              302.91             3746.06
s79            323917.35                    4048.97                0.00             4210.24
s80            308119.20                    3890.99              157.98             3890.99
s81             49608.11                    1305.87             2743.09             1305.87
s82            268848.11                    3498.27              550.69             3498.27
s83            238806.49                    3197.86              851.11             3197.86
s84            120033.31                    2010.13             2038.84             2010.13
s85            141245.45                    2222.25             1826.72             2222.25
s86            175875.75                    2568.55             1480.42             2568.55
s87            289921.92                    3709.01              339.95             3709.01
s88            284545.40                    3655.25              393.72             3655.25
s89            263877.39                    3448.57              600.40             3448.57
s90             98772.66                    1797.52             2251.45             1797.52
s91            323917.35                    4048.97                0.00             4424.47
s92            323917.35                    4048.97                0.00             4349.05
s93            161639.98                    2426.19             1622.77             2426.19
s94            294639.47                    3756.19              292.78             3756.19
s95            213056.31                    2940.36             1108.61             2940.36
s96            195633.51                    2766.13             1282.84             2766.13
s97            314709.10                    3956.88               92.08             3956.88
s98            166591.12                    2475.70             1573.26             2475.70
s99            215710.20                    2966.90             1082.07             2966.90
s100            71212.49                    1521.92             2527.05             1521.92
s101           323917.35                    4048.97                0.00             4327.76
s102           245132.23                    3261.12              787.85             3261.12
s103           105012.74                    1859.92             2189.05             1859.92
s104            78935.56                    1599.15             2449.82             1599.15
s105           314968.11                    3959.47               89.49             3959.47
s106           262469.36                    3434.49              614.48             3434.49
s107           169105.57                    2500.85             1548.12             2500.85
s108            52129.81                    1331.09             2717.88             1331.09
s109           134326.45                    2153.06             1895.91             2153.06
s110           323917.35                    4048.97                0.00             4339.83
s111           323917.35                    4048.97                0.00             5598.15
s112           170606.23                    2515.86             1533.11             2515.86
s113           -44241.60                     367.38             3681.59              367.38
s114           229014.40                    3099.94              949.03             3099.94
s115           323917.35                    4048.97                0.00             4296.38
s116           247133.90                    3281.13              767.83             3281.13
