Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2184.20          162559.11             2062.43             1074.75              121.77                0.80           126027.54



Scenario           Profit              Sales               Leftover_inv        demand
s135           174736.30                    2184.20                0.00             2519.02
s136           174736.30                    2184.20                0.00             3080.56
s137           174736.30                    2184.20                0.00             4784.99
s138           174736.30                    2184.20                0.00             3108.43
s139           174736.30                    2184.20                0.00             4328.83
s140           174736.30                    2184.20                0.00             2472.25
s141           174736.30                    2184.20                0.00             3976.60
s142           174736.30                    2184.20                0.00             3698.00
s143           174736.30                    2184.20                0.00             4542.86
s144            32677.44                     763.62             1420.59              763.62
s145            74811.16                    1184.95              999.25             1184.95
s146           174736.30                    2184.20                0.00             2699.69
s147           174736.30                    2184.20                0.00             3626.35
s148           174736.30                    2184.20                0.00             4781.35
s149           174736.30                    2184.20                0.00             4151.54
s150           174736.30                    2184.20                0.00             3827.90
s151           174736.30                    2184.20                0.00             2829.46
s152           112856.41                    1565.40              618.80             1565.40
s153           130544.20                    1742.28              441.92             1742.28
s154           174736.30                    2184.20                0.00             4234.46
s155           174736.30                    2184.20                0.00             2321.55
s156           174736.30                    2184.20                0.00             2375.60
s157           174736.30                    2184.20                0.00             3579.42
s158           174736.30                    2184.20                0.00             2919.31
s159           174736.30                    2184.20                0.00             2771.73
s160           174736.30                    2184.20                0.00             3750.56
s161           174736.30                    2184.20                0.00             4494.94
s162           174736.30                    2184.20                0.00             2590.69
s163           143445.18                    1871.29              312.91             1871.29
s164           174736.30                    2184.20                0.00             4090.04
s165           174736.30                    2184.20                0.00             2969.56
s166           174736.30                    2184.20                0.00             3185.79
s167           174736.30                    2184.20                0.00             3479.89
s168           174736.30                    2184.20                0.00             2239.42
s169           174736.30                    2184.20                0.00             3749.28
s170           174736.30                    2184.20                0.00             2205.65
s171           174736.30                    2184.20                0.00             3082.36
s172           136315.55                    1800.00              384.21             1800.00
s173           174736.30                    2184.20                0.00             4267.36
s174           174736.30                    2184.20                0.00             6307.64
s175           174736.30                    2184.20                0.00             4548.85
s176           174736.30                    2184.20                0.00             2443.43
s177           174736.30                    2184.20                0.00             3957.97
s178           174736.30                    2184.20                0.00             3493.36
s179           174736.30                    2184.20                0.00             2961.18
s180           174736.30                    2184.20                0.00             3737.22
s181           174736.30                    2184.20                0.00             4514.19
s182           174736.30                    2184.20                0.00             3352.89
s183           174736.30                    2184.20                0.00             3573.93
s184           174736.30                    2184.20                0.00             5024.76
s185           174736.30                    2184.20                0.00             2998.27
s186           174736.30                    2184.20                0.00             3732.34
s187           -29280.18                     144.04             2040.16              144.04
s188           174736.30                    2184.20                0.00             5122.31
s189           174736.30                    2184.20                0.00             2691.48
s190           174736.30                    2184.20                0.00             3026.21
s191           174736.30                    2184.20                0.00             3688.75
s192           174736.30                    2184.20                0.00             3274.05
s193           174736.30                    2184.20                0.00             3510.31
s194            89830.09                    1335.14              849.06             1335.14
s195           174736.30                    2184.20                0.00             3645.14
s196           174736.30                    2184.20                0.00             2797.67
s197           174736.30                    2184.20                0.00             3235.16
s198           174736.30                    2184.20                0.00             3181.71
s199           174736.30                    2184.20                0.00             4042.54
s200           109550.01                    1532.34              651.86             1532.34
s201           174736.30                    2184.20                0.00             2575.40
s202           174736.30                    2184.20                0.00             3764.85
s203           174736.30                    2184.20                0.00             2759.89
s204           174736.30                    2184.20                0.00             3029.35
s205           174736.30                    2184.20                0.00             3293.42
s206           174736.30                    2184.20                0.00             4071.56
s207           174736.30                    2184.20                0.00             4144.28
s208           174736.30                    2184.20                0.00             2512.89
s209           174736.30                    2184.20                0.00             4029.13
s210           174736.30                    2184.20                0.00             2550.31
s211           174736.30                    2184.20                0.00             2615.71
s212           174736.30                    2184.20                0.00             2653.85
s213           174736.30                    2184.20                0.00             2927.99
s214           174736.30                    2184.20                0.00             2451.07
s215           174736.30                    2184.20                0.00             4275.19
s216           174736.30                    2184.20                0.00             4567.11
s217           174736.30                    2184.20                0.00             4616.65
s218           174736.30                    2184.20                0.00             2198.09
