Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2815.84          194521.63             2508.39              628.79              307.46                0.60           163775.67



Scenario           Profit              Sales               Leftover_inv        demand
s1             225267.59                    2815.84                0.00             3188.25
s2             225267.59                    2815.84                0.00             3838.86
s3              98950.97                    1552.68             1263.17             1552.68
s4             225267.59                    2815.84                0.00             3162.94
s5             104268.18                    1605.85             1209.99             1605.85
s6             191766.02                    2480.83              335.02             2480.83
s7             225267.59                    2815.84                0.00             3563.91
s8             134403.37                    1907.20              908.64             1907.20
s9             225267.59                    2815.84                0.00             3974.80
s10            -56316.90                       0.00             2815.84                0.00
s11            215226.82                    2715.44              100.41             2715.44
s12            145421.23                    2017.38              798.46             2017.38
s13            209907.20                    2662.24              153.60             2662.24
s14            225267.59                    2815.84                0.00             4485.04
s15            222468.71                    2787.86               27.99             2787.86
s16            190408.71                    2467.26              348.59             2467.26
s17            225267.59                    2815.84                0.00             4192.53
s18            225267.59                    2815.84                0.00             2870.00
s19            212642.17                    2689.59              126.25             2689.59
s20            196324.17                    2526.41              289.43             2526.41
s21            225267.59                    2815.84                0.00             4091.27
s22            225267.59                    2815.84                0.00             3307.65
s23            225267.59                    2815.84                0.00             4714.17
s24             80369.75                    1366.87             1448.98             1366.87
s25            225267.59                    2815.84                0.00             4182.56
s26            -51551.50                      47.65             2768.19               47.65
s27            225267.59                    2815.84                0.00             3866.85
s28            225267.59                    2815.84                0.00             4048.97
s29            225267.59                    2815.84                0.00             4090.59
s30            225267.59                    2815.84                0.00             4408.84
s31            225267.59                    2815.84                0.00             3328.51
s32            225267.59                    2815.84                0.00             3301.81
s33            225267.59                    2815.84                0.00             3874.48
s34            225267.59                    2815.84                0.00             3907.43
s35            225267.59                    2815.84                0.00             2962.42
s36            225267.59                    2815.84                0.00             3141.30
s37            225267.59                    2815.84                0.00             3648.11
s38            225267.59                    2815.84                0.00             3681.10
s39            225267.59                    2815.84                0.00             5003.22
s40            225267.59                    2815.84                0.00             3378.43
s41            225267.59                    2815.84                0.00             5107.10
s42            130485.90                    1868.03              947.82             1868.03
s43            217310.93                    2736.28               79.57             2736.28
s44            -34710.51                     216.06             2599.78              216.06
s45            225267.59                    2815.84                0.00             2855.29
s46            105010.88                    1613.28             1202.57             1613.28
s47            134071.20                    1903.88              911.96             1903.88
s48            225267.59                    2815.84                0.00             3148.96
s49            225267.59                    2815.84                0.00             4403.85
s50            225267.59                    2815.84                0.00             3964.55
s51            225267.59                    2815.84                0.00             2925.99
s52            225267.59                    2815.84                0.00             4750.87
s53            132522.32                    1888.39              927.45             1888.39
s54            189640.28                    2459.57              356.27             2459.57
s55            205409.94                    2617.27              198.58             2617.27
s56            172488.89                    2288.06              527.79             2288.06
s57            225267.59                    2815.84                0.00             3585.10
s58            225267.59                    2815.84                0.00             4368.33
s59            225267.59                    2815.84                0.00             4971.11
s60             86482.20                    1427.99             1387.85             1427.99
s61            225267.59                    2815.84                0.00             4248.76
s62            225267.59                    2815.84                0.00             4121.00
s63            138415.59                    1947.32              868.52             1947.32
s64            115721.81                    1720.39             1095.46             1720.39
s65            225267.59                    2815.84                0.00             4508.10
s66            218209.37                    2745.26               70.58             2745.26
s67            183764.95                    2400.82              415.03             2400.82
s68            225267.59                    2815.84                0.00             3201.93
s69            181576.84                    2378.94              436.91             2378.94
s70            192814.99                    2491.32              324.53             2491.32
s71            198814.24                    2551.31              264.53             2551.31
s72            203009.61                    2593.27              222.58             2593.27
s73            225267.59                    2815.84                0.00             7010.74
s74            225267.59                    2815.84                0.00             3956.45
s75            120766.85                    1770.84             1045.01             1770.84
s76            225267.59                    2815.84                0.00             3870.97
s77             50549.25                    1068.66             1747.18             1068.66
s78            225267.59                    2815.84                0.00             3746.06
s79            225267.59                    2815.84                0.00             4210.24
s80            225267.59                    2815.84                0.00             3890.99
s81             74270.56                    1305.87             1509.97             1305.87
s82            225267.59                    2815.84                0.00             3498.27
s83            225267.59                    2815.84                0.00             3197.86
s84            144695.75                    2010.13              805.72             2010.13
s85            165907.89                    2222.25              593.60             2222.25
s86            200538.20                    2568.55              247.29             2568.55
s87            225267.59                    2815.84                0.00             3709.01
s88            225267.59                    2815.84                0.00             3655.25
s89            225267.59                    2815.84                0.00             3448.57
s90            123435.10                    1797.52             1018.32             1797.52
s91            225267.59                    2815.84                0.00             4424.47
s92            225267.59                    2815.84                0.00             4349.05
s93            186302.42                    2426.19              389.65             2426.19
s94            225267.59                    2815.84                0.00             3756.19
s95            225267.59                    2815.84                0.00             2940.36
s96            220295.95                    2766.13               49.72             2766.13
s97            225267.59                    2815.84                0.00             3956.88
s98            191253.57                    2475.70              340.14             2475.70
s99            225267.59                    2815.84                0.00             2966.90
s100            95874.93                    1521.92             1293.93             1521.92
s101           225267.59                    2815.84                0.00             4327.76
s102           225267.59                    2815.84                0.00             3261.12
s103           129675.18                    1859.92              955.92             1859.92
s104           103598.00                    1599.15             1216.70             1599.15
s105           225267.59                    2815.84                0.00             3959.47
s106           225267.59                    2815.84                0.00             3434.49
s107           193768.01                    2500.85              315.00             2500.85
s108            76792.25                    1331.09             1484.75             1331.09
s109           158988.89                    2153.06              662.79             2153.06
s110           225267.59                    2815.84                0.00             4339.83
s111           225267.59                    2815.84                0.00             5598.15
s112           195268.67                    2515.86              299.99             2515.86
s113           -19579.16                     367.38             2448.47              367.38
s114           225267.59                    2815.84                0.00             3099.94
s115           225267.59                    2815.84                0.00             4296.38
s116           225267.59                    2815.84                0.00             3281.13
s117           189813.05                    2461.30              354.55             2461.30
s118           225267.59                    2815.84                0.00             3019.16
s119           225267.59                    2815.84                0.00             3096.81
s120           225267.59                    2815.84                0.00             3818.87
s121           219714.11                    2760.31               55.53             2760.31
s122           225267.59                    2815.84                0.00             3906.00
s123           101141.29                    1574.58             1241.26             1574.58
s124           225267.59                    2815.84                0.00             3166.96
s125            34972.93                     912.90             1902.95              912.90
s126           133033.73                    1893.51              922.34             1893.51
s127           225267.59                    2815.84                0.00             3941.33
s128           225267.59                    2815.84                0.00             3211.88
s129           130831.78                    1871.49              944.36             1871.49
s130           -17305.64                     390.11             2425.73              390.11
s131           225267.59                    2815.84                0.00             3719.54
s132           225267.59                    2815.84                0.00             3353.03
s133           225267.59                    2815.84                0.00             3290.54
s134           225267.59                    2815.84                0.00             4304.49
s135           195585.26                    2519.02              296.82             2519.02
s136           225267.59                    2815.84                0.00             3080.56
s137           225267.59                    2815.84                0.00             4784.99
s138           225267.59                    2815.84                0.00             3108.43
s139           225267.59                    2815.84                0.00             4328.83
s140           190907.95                    2472.25              343.60             2472.25
s141           225267.59                    2815.84                0.00             3976.60
s142           225267.59                    2815.84                0.00             3698.00
s143           225267.59                    2815.84                0.00             4542.86
s144            20044.62                     763.62             2052.23              763.62
s145            62178.34                    1184.95             1630.89             1184.95
s146           213652.02                    2699.69              116.16             2699.69
s147           225267.59                    2815.84                0.00             3626.35
s148           225267.59                    2815.84                0.00             4781.35
s149           225267.59                    2815.84                0.00             4151.54
s150           225267.59                    2815.84                0.00             3827.90
s151           225267.59                    2815.84                0.00             2829.46
s152           100223.59                    1565.40             1250.44             1565.40
s153           117911.38                    1742.28             1073.56             1742.28
s154           225267.59                    2815.84                0.00             4234.46
s155           175837.89                    2321.55              494.30             2321.55
s156           181242.98                    2375.60              440.25             2375.60
s157           225267.59                    2815.84                0.00             3579.42
s158           225267.59                    2815.84                0.00             2919.31
s159           220856.19                    2771.73               44.11             2771.73
s160           225267.59                    2815.84                0.00             3750.56
s161           225267.59                    2815.84                0.00             4494.94
s162           202752.30                    2590.69              225.15             2590.69
s163           130812.36                    1871.29              944.55             1871.29
s164           225267.59                    2815.84                0.00             4090.04
s165           225267.59                    2815.84                0.00             2969.56
s166           225267.59                    2815.84                0.00             3185.79
s167           225267.59                    2815.84                0.00             3479.89
s168           167625.11                    2239.42              576.42             2239.42
s169           225267.59                    2815.84                0.00             3749.28
s170           164248.07                    2205.65              610.20             2205.65
s171           225267.59                    2815.84                0.00             3082.36
s172           123682.73                    1800.00             1015.85             1800.00
s173           225267.59                    2815.84                0.00             4267.36
s174           225267.59                    2815.84                0.00             6307.64
s175           225267.59                    2815.84                0.00             4548.85
s176           188026.47                    2443.43              372.41             2443.43
s177           225267.59                    2815.84                0.00             3957.97
s178           225267.59                    2815.84                0.00             3493.36
s179           225267.59                    2815.84                0.00             2961.18
s180           225267.59                    2815.84                0.00             3737.22
s181           225267.59                    2815.84                0.00             4514.19
s182           225267.59                    2815.84                0.00             3352.89
s183           225267.59                    2815.84                0.00             3573.93
s184           225267.59                    2815.84                0.00             5024.76
s185           225267.59                    2815.84                0.00             2998.27
s186           225267.59                    2815.84                0.00             3732.34
s187           -41913.00                     144.04             2671.81              144.04
s188           225267.59                    2815.84                0.00             5122.31
s189           212831.22                    2691.48              124.36             2691.48
s190           225267.59                    2815.84                0.00             3026.21
s191           225267.59                    2815.84                0.00             3688.75
s192           225267.59                    2815.84                0.00             3274.05
s193           225267.59                    2815.84                0.00             3510.31
s194            77197.27                    1335.14             1480.70             1335.14
s195           225267.59                    2815.84                0.00             3645.14
s196           223449.82                    2797.67               18.18             2797.67
s197           225267.59                    2815.84                0.00             3235.16
s198           225267.59                    2815.84                0.00             3181.71
s199           225267.59                    2815.84                0.00             4042.54
s200            96917.18                    1532.34             1283.50             1532.34
s201           201223.18                    2575.40              240.44             2575.40
s202           225267.59                    2815.84                0.00             3764.85
s203           219671.95                    2759.89               55.96             2759.89
s204           225267.59                    2815.84                0.00             3029.35
s205           225267.59                    2815.84                0.00             3293.42
s206           225267.59                    2815.84                0.00             4071.56
s207           225267.59                    2815.84                0.00             4144.28
s208           194971.69                    2512.89              302.96             2512.89
s209           225267.59                    2815.84                0.00             4029.13
s210           198714.15                    2550.31              265.53             2550.31
s211           205254.30                    2615.71              200.13             2615.71
s212           209068.41                    2653.85              161.99             2653.85
s213           225267.59                    2815.84                0.00             2927.99
s214           188790.53                    2451.07              364.77             2451.07
s215           225267.59                    2815.84                0.00             4275.19
s216           225267.59                    2815.84                0.00             4567.11
s217           225267.59                    2815.84                0.00             4616.65
s218           163491.89                    2198.09              617.76             2198.09
s219           225267.59                    2815.84                0.00             3922.24
s220           225267.59                    2815.84                0.00             4843.11
s221           176000.12                    2323.17              492.67             2323.17
s222           195986.24                    2523.03              292.81             2523.03
s223           222303.71                    2786.21               29.64             2786.21
s224           225267.59                    2815.84                0.00             3078.87
s225           225267.59                    2815.84                0.00             4501.35
s226           225267.59                    2815.84                0.00             3628.98
s227           176092.68                    2324.10              491.75             2324.10
s228           154701.70                    2110.19              705.66             2110.19
s229           225267.59                    2815.84                0.00             3114.46
s230           225267.59                    2815.84                0.00             4367.70
s231           145958.59                    2022.75              793.09             2022.75
s232           225267.59                    2815.84                0.00             3208.13
s233           225267.59                    2815.84                0.00             3376.59
s234           225267.59                    2815.84                0.00             3422.66
s235           225267.59                    2815.84                0.00             3092.89
s236           159357.77                    2156.75              659.10             2156.75
s237            94702.50                    1510.19             1305.65             1510.19
s238           215149.70                    2714.67              101.18             2714.67
s239           225267.59                    2815.84                0.00             3196.28
s240           204428.21                    2607.45              208.39             2607.45
s241           146968.62                    2032.86              782.99             2032.86
s242           225267.59                    2815.84                0.00             3734.26
s243           225267.59                    2815.84                0.00             3367.61
s244           225267.59                    2815.84                0.00             3802.00
s245           218742.48                    2750.59               65.25             2750.59
