CVaR               VaR

       50.84              50.84



Scenario           Finish_time         Tail
s107               g                          14.45
s107               h                          18.12
s107               i                          20.20
s107               j                          50.84
s108               a                           3.76
s108               b                          11.28
s108               c                          12.87
s108               d                          18.83
s108               e                          22.36
s108               f                          39.07
s108               g                          16.26
s108               h                          21.92
s108               i                          24.00
s108               j                          50.84
s109               a                           3.99
s109               b                          10.13
s109               c                          11.64
s109               d                          18.20
s109               e                          24.42
s109               f                          39.16
s109               g                          14.59
s109               h                          20.00
s109               i                          21.86
s109               j                          50.84
s110               a                           4.35
s110               b                          11.22
s110               c                          10.76
s110               d                          16.97
s110               e                          22.80
s110               f                          35.71
s110               g                          13.17
s110               h                          17.97
s110               i                          19.97
s110               j                          50.84
s111               a                           5.71
s111               b                          14.26
s111               c                          12.71
s111               d                          19.66
s111               e                          25.03
s111               f                          37.59
s111               g                          16.75
s111               h                          19.71
s111               i                          22.19
s111               j                          50.84
s112               a                           5.61
s112               b                          10.98
s112               c                          13.81
s112               d                          19.64
s112               e                          26.90
s112               f                          38.52
s112               g                          17.05
s112               h                          22.83
s112               i                          25.08
s112               j                          50.84
s113               a                           5.01
s113               b                          11.10
s113               c                          15.26
s113               d                          20.93
s113               e                          28.25
s113               f                          45.40
s113               g                          18.61
s113               h                          24.12
s113               i                          26.20
s113               j                          50.84
s114               a                           3.94
s114               b                          11.12
s114               c                          12.58
s114               d                          17.85
s114               e                          23.00
s114               f                          38.12
s114               g                          16.63
s114               h                          19.35
s114               i                          21.65
s114               j                          50.84
s115               a                           4.30
s115               b                          12.58
s115               c                          13.28
s115               d                          17.40
s115               e                          26.92
s115               f                          43.79
s115               g                          15.22
s115               h                          21.00
s115               i                          23.31
s115               j                          50.84
s116               a                           3.27
s116               b                           9.99
s116               c                          13.66
s116               d                          18.89
s116               e                          26.87
s116               f                          44.37
s116               g                          16.16
s116               h                          21.28
s116               i                          23.21
s116               j                          50.84
s117               a                           5.37
s117               b                          12.01
s117               c                          13.55
s117               d                          18.69
s117               e                          24.51
s117               f                          39.68
s117               g                          17.77
s117               h                          20.77
s117               i                          22.66
s117               j                          50.84
s118               a                           5.34
s118               b                          11.88
s118               c                          13.21
s118               d                          17.54
s118               e                          25.36
s118               f                          37.57
s118               g                          15.27
s118               h                          19.47
s118               i                          21.53
s118               j                          50.84
s119               a                           3.95
s119               b                          11.77
s119               c                          14.05
s119               d                          19.44
s119               e                          26.53
s119               f                          41.85
s119               g                          16.63
s119               h                          20.30
s119               i                          22.33
s119               j                          50.84
s120               a                           5.46
s120               b                          11.74
s120               c                          10.76
s120               d                          18.04
s120               e                          21.68
s120               f                          38.86
s120               g                          14.50
s120               h                          18.95
s120               i                          21.37
s120               j                          50.84
s121               a                           6.19
s121               b                          12.65
s121               c                          12.57
s121               d                          19.20
s121               e                          24.00
s121               f                          40.67
s121               g                          16.15
s121               h                          20.99
s121               i                          22.20
s121               j                          50.84
s122               a                           5.55
s122               b                          13.31
s122               c                          11.73
s122               d                          18.09
s122               e                          26.00
s122               f                          40.10
s122               g                          14.95
s122               h                          20.75
s122               i                          22.72
s122               j                          50.84
s123               a                           4.26
s123               b                          12.86
s123               c                          12.60
s123               d                          18.95
s123               e                          23.14
s123               f                          39.91
s123               g                          15.96
s123               h                          20.66
s123               i                          22.98
s123               j                          50.84
s124               a                           3.65
s124               b                          11.13
s124               c                          12.36
s124               d                          17.06
s124               e                          23.34
s124               f                          38.40
s124               g                          16.30
s124               h                          20.74
s124               i                          22.74
s124               j                          50.84
s125               a                           5.59
s125               b                          11.77
s125               c                          13.61
s125               d                          19.11
s125               e                          25.55
s125               f                          44.45
s125               g                          17.82
s125               h                          22.49
s125               i                          24.37
s125               j                          50.84
s126               a                           4.15
s126               b                          10.91
s126               c                          15.24
s126               d                          21.15
s126               e                          25.26
s126               f                          39.42
s126               g                          18.06
s126               h                          22.88
s126               i                          25.36
s126               j                          50.84
s127               a                           6.19
s127               b                          14.77
s127               c                          13.01
s127               d                          20.87
s127               e                          26.66
s127               f                          39.14
s127               g                          16.77
s127               h                          22.44
s127               i                          25.01
s127               j                          50.84
s128               a                           5.60
s128               b                          12.11
s128               c                          13.50
s128               d                          18.11
s128               e                          25.01
s128               f                          40.08
s128               g                          15.78
s128               h                          18.94
s128               i                          20.81
s128               j                          50.84
s129               a                           4.77
s129               b                          10.63
s129               c                          12.11
s129               d                          18.68
s129               e                          24.38
s129               f                          43.36
s129               g                          14.95
s129               h                          19.62
s129               i                          22.18
s129               j                          50.84
s130               a                           4.10
s130               b                          11.60
s130               c                          12.49
s130               d                          18.51
s130               e                          23.04
s130               f                          38.32
s130               g                          15.71
s130               h                          20.31
s130               i                          21.87
s130               j                          50.84
s131               a                           5.90
s131               b                          12.08
s131               c                          13.87
s131               d                          18.80
s131               e                          26.09
s131               f                          42.77
s131               g                          16.53
s131               h                          20.59
s131               i                          22.79
s131               j                          50.84
s132               a                           4.92
s132               b                          12.39
s132               c                          11.16
s132               d                          17.88
s132               e                          24.49
s132               f                          38.73
s132               g                          13.07
s132               h                          18.58
s132               i                          20.33
s132               j                          50.84
s133               a                           5.81
s133               b                          13.09
s133               c                          14.70
s133               d                          20.24
s133               e                          27.69
s133               f                          41.91
s133               g                          17.44
s133               h                          21.80
s133               i                          23.76
s133               j                          50.84
s134               a                           5.94
s134               b                          13.23
s134               c                          11.52
s134               d                          17.58
s134               e                          25.26
s134               f                          42.66
s134               g                          15.41
s134               h                          20.29
s134               i                          22.11
s134               j                          50.84
s135               a                           4.51
s135               b                          10.51
s135               c                          11.97
s135               d                          18.08
s135               e                          23.80
s135               f                          41.26
s135               g                          15.54
s135               h                          19.57
s135               i                          21.07
s135               j                          50.84
s136               a                           4.44
s136               b                          11.24
s136               c                          16.00
s136               d                          20.92
s136               e                          28.39
s136               f                          46.13
s136               g                          19.38
s136               h                          24.98
s136               i                          26.94
s136               j                          50.84
s137               a                           6.02
s137               b                          12.48
s137               c                          11.79
s137               d                          18.01
s137               e                          23.87
s137               f                          37.80
s137               g                          15.02
s137               h                          19.34
s137               i                          21.30
s137               j                          50.84
s138               a                           5.17
s138               b                          11.77
s138               c                          11.70
s138               d                          16.31
s138               e                          24.03
s138               f                          40.40
s138               g                          15.73
s138               h                          21.59
s138               i                          23.90
s138               j                          50.84
s139               a                           4.66
s139               b                          11.25
s139               c                          11.92
s139               d                          16.60
s139               e                          25.06
s139               f                          41.04
s139               g                          14.30
s139               h                          19.24
s139               i                          21.43
s139               j                          50.84
s140               a                           4.30
s140               b                          10.88
s140               c                          13.72
s140               d                          19.16
s140               e                          26.83
s140               f                          38.97
s140               g                          16.37
s140               h                          22.01
s140               i                          24.03
s140               j                          50.84
s141               a                           4.33
s141               b                          11.10
s141               c                          12.16
s141               d                          18.15
s141               e                          24.18
s141               f                          38.81
s141               g                          14.55
s141               h                          18.57
s141               i                          21.31
s141               j                          50.84
s142               a                           5.43
s142               b                          14.50
s142               c                          10.54
s142               d                          20.05
s142               e                          24.75
s142               f                          42.14
s142               g                          13.72
s142               h                          19.03
s142               i                          22.02
s142               j                          50.84
s143               a                           5.22
s143               b                          14.13
s143               c                          12.55
s143               d                          19.05
s143               e                          26.25
s143               f                          41.22
s143               g                          16.06
s143               h                          20.65
s143               i                          23.39
s143               j                          50.84
s144               a                           4.76
s144               b                          11.76
s144               c                          11.22
s144               d                          17.03
s144               e                          24.01
s144               f                          36.80
s144               g                          13.46
s144               h                          18.45
s144               i                          20.42
s144               j                          50.84
s145               a                           4.58
s145               b                          12.63
s145               c                          12.82
s145               d                          17.05
s145               e                          24.02
s145               f                          38.34
s145               g                          16.03
s145               h                          19.43
s145               i                          21.75
s145               j                          50.84
s146               a                           4.85
s146               b                          12.37
s146               c                          12.05
s146               d                          17.99
s146               e                          20.72
s146               f                          37.01
s146               g                          14.88
s146               h                          20.25
s146               i                          22.46
s146               j                          50.84
s147               a                           5.92
s147               b                          12.57
s147               c                          13.38
s147               d                          18.85
s147               e                          27.26
s147               f                          40.28
s147               g                          16.93
s147               h                          21.97
s147               i                          23.82
s147               j                          50.84
s148               a                           4.94
s148               b                          12.00
s148               c                          11.27
s148               d                          16.83
s148               e                          25.00
s148               f                          37.31
s148               g                          15.44
s148               h                          19.70
s148               i                          20.90
s148               j                          50.84
s149               a                           3.48
s149               b                          11.44
s149               c                          12.64
s149               d                          18.24
s149               e                          25.52
s149               f                          41.84
s149               g                          14.27
s149               h                          19.24
s149               i                          21.27
s149               j                          50.84
s150               a                           4.62
s150               b                          10.72
s150               c                          14.13
s150               d                          18.89
s150               e                          26.42
s150               f                          42.45
s150               g                          16.73
s150               h                          21.69
s150               i                          23.36
s150               j                          50.84
s151               a                           4.70
s151               b                          11.63
s151               c                          12.43
s151               d                          18.81
s151               e                          23.58
s151               f                          35.09
s151               g                          16.13
s151               h                          19.57
s151               i                          21.87
s151               j                          50.84
s152               a                           6.22
s152               b                          13.64
s152               c                          12.60
s152               d                          19.36
s152               e                          24.77
s152               f                          40.47
s152               g                          15.60
s152               h                          20.84
s152               i                          23.03
s152               j                          50.84
s153               a                           4.30
s153               b                          10.95
s153               c                          11.64
s153               d                          16.10
s153               e                          23.85
s153               f                          37.73
s153               g                          14.02
s153               h                          19.55
s153               i                          21.14
s153               j                          50.84
s154               a                           5.83
s154               b                          13.61
s154               c                          13.48
s154               d                          19.54
s154               e                          25.35
s154               f                          40.00
s154               g                          16.40
s154               h                          19.23
s154               i                          21.32
s154               j                          50.84
s155               a                           4.05
s155               b                          11.79
s155               c                          11.13
s155               d                          16.87
s155               e                          24.43
s155               f                          41.67
s155               g                          13.00
s155               h                          16.60
s155               i                          19.34
s155               j                          50.84
s156               a                           4.85
s156               b                          12.38
s156               c                          12.92
s156               d                          17.79
s156               e                          24.59
s156               f                          39.53
s156               g                          16.02
s156               h                          20.44
s156               i                          22.66
s156               j                          50.84
s157               a                           4.57
s157               b                          12.93
s157               c                          12.94
s157               d                          18.16
s157               e                          23.25
s157               f                          38.63
s157               g                          16.79
s157               h                          21.22
s157               i                          23.29
s157               j                          50.84
s158               a                           4.70
s158               b                          12.00
s158               c                          11.26
s158               d                          17.04
s158               e                          25.16
s158               f                          41.93
s158               g                          14.25
s158               h                          18.48
s158               i                          20.44
s158               j                          50.84
s159               a                           6.17
s159               b                          14.14
s159               c                          11.53
s159               d                          19.16
s159               e                          26.29
s159               f                          41.21
s159               g                          14.18
s159               h                          18.29
s159               i                          21.28
s159               j                          50.84
s160               a                           4.89
s160               b                          13.22
s160               c                          13.60
s160               d                          18.76
s160               e                          25.74
s160               f                          42.69
s160               g                          16.21
s160               h                          21.13
s160               i                          23.33
s160               j                          50.84
s161               a                           4.78
s161               b                          11.19
s161               c                          10.60
s161               d                          15.70
s161               e                          20.64
s161               f                          34.75
s161               g                          12.89
s161               h                          18.39
s161               i                          20.45
s161               j                          50.84
s162               a                           4.68
s162               b                          11.37
s162               c                          12.16
s162               d                          16.88
s162               e                          25.05
s162               f                          42.04
s162               g                          14.84
s162               h                          18.50
s162               i                          20.55
s162               j                          50.84
s163               a                           3.66
s163               b                          10.23
s163               c                          10.99
s163               d                          16.87
s163               e                          24.97
s163               f                          35.44
s163               g                          13.49
s163               h                          18.44
s163               i                          20.31
s163               j                          50.84
s164               a                           6.02
s164               b                          12.87
s164               c                          14.75
s164               d                          19.32
s164               e                          27.57
s164               f                          42.97
s164               g                          17.94
s164               h                          19.70
s164               i                          21.67
s164               j                          50.84
s165               a                           6.17
s165               b                          11.75
s165               c                          11.72
s165               d                          17.14
s165               e                          20.50
s165               f                          35.39
s165               g                          15.76
s165               h                          20.31
s165               i                          22.47
s165               j                          50.84
s166               a                           5.18
s166               b                          12.19
s166               c                          11.46
s166               d                          17.97
s166               e                          22.13
s166               f                          38.55
s166               g                          14.10
s166               h                          19.46
s166               i                          21.50
s166               j                          50.84
s167               a                           4.94
s167               b                          14.18
s167               c                          13.50
s167               d                          18.43
s167               e                          26.09
s167               f                          40.12
s167               g                          17.12
s167               h                          20.91
s167               i                          23.20
s167               j                          50.84
s168               a                           5.91
s168               b                          14.54
s168               c                          14.46
s168               d                          21.23
s168               e                          25.74
s168               f                          39.70
s168               g                          16.50
s168               h                          20.60
s168               i                          23.00
s168               j                          50.84
s169               a                           3.38
s169               b                          10.77
s169               c                          12.31
s169               d                          17.01
s169               e                          24.93
s169               f                          43.01
s169               g                          15.35
s169               h                          19.17
s169               i                          21.25
s169               j                          50.84
s170               a                           4.69
s170               b                          10.96
s170               c                          15.11
s170               d                          19.40
s170               e                          25.03
s170               f                          38.16
s170               g                          18.24
s170               h                          22.25
s170               i                          24.44
s170               j                          50.84
s171               a                           5.64
s171               b                          11.95
s171               c                          11.60
s171               d                          17.75
s171               e                          22.59
s171               f                          35.06
s171               g                          14.41
s171               h                          19.37
s171               i                          21.11
s171               j                          50.84
s172               a                           4.83
s172               b                          11.57
s172               c                          12.21
s172               d                          16.51
s172               e                          24.70
s172               f                          40.77
s172               g                          16.49
s172               h                          20.78
s172               i                          22.99
s172               j                          50.84
s173               a                           5.60
s173               b                          11.90
s173               c                          11.42
s173               d                          17.44
s173               e                          23.04
s173               f                          34.97
s173               g                          14.28
s173               h                          19.02
s173               i                          21.07
s173               j                          50.84
s174               a                           4.40
s174               b                          12.48
s174               c                          11.14
s174               d                          17.28
s174               e                          24.38
s174               f                          39.24
s174               g                          13.40
s174               h                          18.35
s174               i                          20.59
s174               j                          50.84
s175               a                           5.77
s175               b                          14.29
s175               c                          14.30
s175               d                          19.45
s175               e                          24.21
s175               f                          40.70
s175               g                          17.12
s175               h                          22.06
s175               i                          23.69
s175               j                          50.84
s176               a                           5.41
s176               b                          14.26
s176               c                          12.34
s176               d                          20.04
s176               e                          25.21
s176               f                          41.12
s176               g                          14.51
s176               h                          19.17
s176               i                          22.13
s176               j                          50.84
s177               a                           5.00
s177               b                          13.69
s177               c                          15.20
s177               d                          20.49
s177               e                          27.44
s177               f                          39.83
s177               g                          17.75
s177               h                          21.14
s177               i                          22.62
s177               j                          50.84
s178               a                           4.61
s178               b                          13.32
s178               c                          12.78
s178               d                          18.57
s178               e                          27.28
s178               f                          42.67
s178               g                          15.07
s178               h                          19.84
s178               i                          21.60
s178               j                          50.84
s179               a                           4.31
s179               b                          11.37
s179               c                          14.40
s179               d                          20.64
s179               e                          27.16
s179               f                          45.16
s179               g                          18.37
s179               h                          21.83
s179               i                          24.10
s179               j                          50.84
s180               a                           4.74
s180               b                          12.40
s180               c                          10.62
s180               d                          17.32
s180               e                          23.79
s180               f                          37.95
s180               g                          12.47
s180               h                          16.21
s180               i                          19.12
s180               j                          50.84
s181               a                           6.39
s181               b                          15.04
s181               c                          15.77
s181               d                          20.76
s181               e                          27.17
s181               f                          40.50
s181               g                          18.57
s181               h                          21.94
s181               i                          24.77
s181               j                          50.84
s182               a                           4.32
s182               b                          12.06
s182               c                          11.75
s182               d                          17.32
s182               e                          24.37
s182               f                          42.08
s182               g                          15.56
s182               h                          19.23
s182               i                          20.56
s182               j                          50.84
s183               a                           5.59
s183               b                          14.20
s183               c                          13.69
s183               d                          19.81
s183               e                          23.37
s183               f                          39.32
s183               g                          16.59
s183               h                          21.77
s183               i                          23.24
s183               j                          50.84
s184               a                           6.32
s184               b                          13.48
s184               c                          11.33
s184               d                          18.48
s184               e                          25.76
s184               f                          37.52
s184               g                          15.04
s184               h                          19.67
s184               i                          21.94
s184               j                          50.84
s185               a                           5.05
s185               b                          13.23
s185               c                          11.40
s185               d                          18.57
s185               e                          25.75
s185               f                          43.58
s185               g                          15.16
s185               h                          20.64
s185               i                          22.71
s185               j                          50.84
s186               a                           5.58
s186               b                          11.33
s186               c                          13.80
s186               d                          18.03
s186               e                          26.87
s186               f                          41.54
s186               g                          16.19
s186               h                          18.18
s186               i                          19.56
s186               j                          50.84
s187               a                           5.67
s187               b                          12.52
s187               c                          12.51
s187               d                          16.79
s187               e                          25.07
s187               f                          42.24
s187               g                          15.44
s187               h                          19.50
s187               i                          21.24
s187               j                          50.84
s188               a                           5.37
s188               b                          13.49
s188               c                          11.91
s188               d                          19.49
s188               e                          26.27
s188               f                          38.87
s188               g                          15.71
s188               h                          21.13
s188               i                          23.53
s188               j                          50.84
s189               a                           4.71
s189               b                          11.52
s189               c                          13.73
s189               d                          18.40
s189               e                          24.56
s189               f                          37.76
s189               g                          16.29
s189               h                          19.67
s189               i                          22.00
s189               j                          50.84
s190               a                           4.10
s190               b                          11.29
s190               c                          11.98
s190               d                          17.96
s190               e                          23.15
s190               f                          40.91
s190               g                          15.22
s190               h                          19.03
s190               i                          20.92
s190               j                          50.84
s191               a                           4.30
s191               b                          10.05
s191               c                          10.79
s191               d                          15.38
s191               e                          23.31
s191               f                          35.81
s191               g                          14.44
s191               h                          19.64
s191               i                          22.26
s191               j                          50.84
s192               a                           5.24
s192               b                          11.73
s192               c                          10.84
s192               d                          16.58
s192               e                          23.70
s192               f                          38.81
s192               g                          14.03
s192               h                          18.86
s192               i                          20.68
s192               j                          50.84
s193               a                           3.76
s193               b                          12.61
s193               c                          10.88
s193               d                          17.95
s193               e                          24.27
s193               f                          40.36
s193               g                          13.72
s193               h                          19.03
s193               i                          20.75
s193               j                          50.84
s194               a                           5.73
s194               b                          13.46
