CVaR               VaR

       50.84              50.84



Scenario           Finish_time         Tail
s264               50.84                       0.00
s265               50.84                       0.00
s266               50.84                       0.00
s267               50.84                       0.00
s268               50.84                       0.00
s269               50.84                       0.00
s270               50.84                       0.00
s271               50.84                       0.00
s272               50.84                       0.00
s273               50.84                       0.00
s274               50.84                       0.00
s275               50.84                       0.00
s276               50.84                       0.00
s277               50.84                       0.00
s278               50.84                       0.00
s279               50.84                       0.00
s280               50.84                       0.00
s281               50.84                       0.00
s282               50.84                       0.00
s283               50.84                       0.00
s284               50.84                       0.00
s285               50.84                       0.00
s286               50.84                       0.00
s287               50.84                       0.00
s288               50.84                       0.00
s289               50.84                       0.00
s290               50.84                       0.00
s291               50.84                       0.00
s292               50.84                       0.00
s293               50.84                       0.00
s294               50.84                       0.00
s295               50.84                       0.00
s296               50.84                       0.00
s297               50.84                       0.00
s298               50.84                       0.00
s299               50.84                       0.00
s300               50.84                       0.00
s301               50.84                       0.00
s302               50.84                       0.00
s303               50.84                       0.00
s304               50.84                       0.00
s305               50.84                       0.00
s306               50.84                       0.00
s307               50.84                       0.00
s308               50.84                       0.00
s309               50.84                       0.00
s310               50.84                       0.00
s311               50.84                       0.00
s312               50.84                       0.00
s313               50.84                       0.00
s314               50.84                       0.00
s315               50.84                       0.00
s316               50.84                       0.00
s317               50.84                       0.00
s318               50.84                       0.00
s319               50.84                       0.00
s320               50.84                       0.00
s321               50.84                       0.00
s322               50.84                       0.00
s323               50.84                       0.00
s324               50.84                       0.00
s325               50.84                       0.00
s326               50.84                       0.00
s327               50.84                       0.00
s328               50.84                       0.00
s329               50.84                       0.00
s330               50.84                       0.00
s331               50.84                       0.00
s332               50.84                       0.00
s333               50.84                       0.00
s334               50.84                       0.00
s335               50.84                       0.00
s336               50.84                       0.00
s337               50.84                       0.00
s338               50.84                       0.00
s339               50.84                       0.00
s340               50.84                       0.00
s341               50.84                       0.00
s342               50.84                       0.00
s343               50.84                       0.00
s344               50.84                       0.00
s345               50.84                       0.00
s346               50.84                       0.00
s347               50.84                       0.00
s348               50.84                       0.00
s349               50.84                       0.00
s350               50.84                       0.00
s351               50.84                       0.00
s352               50.84                       0.00
s353               50.84                       0.00
s354               50.84                       0.00
s355               50.84                       0.00
s356               50.84                       0.00
s357               50.84                       0.00
s358               50.84                       0.00
s359               50.84                       0.00
s360               50.84                       0.00
s361               50.84                       0.00
s362               50.84                       0.00
s363               50.84                       0.00
s364               50.84                       0.00
s365               50.84                       0.00
s366               50.84                       0.00
s367               50.84                       0.00
s368               50.84                       0.00
s369               50.84                       0.00
s370               50.84                       0.00
s371               50.84                       0.00
s372               50.84                       0.00
s373               50.84                       0.00
s374               50.84                       0.00
s375               50.84                       0.00
s376               50.84                       0.00
s377               50.84                       0.00
s378               50.84                       0.00
s379               50.84                       0.00
s380               50.84                       0.00
s381               50.84                       0.00
s382               50.84                       0.00
s383               50.84                       0.00
s384               50.84                       0.00
s385               50.84                       0.00
s386               50.84                       0.00
s387               50.84                       0.00
s388               50.84                       0.00
s389               50.84                       0.00
s390               50.84                       0.00
s391               50.84                       0.00
s392               50.84                       0.00
s393               50.84                       0.00
s394               50.84                       0.00
s395               50.84                       0.00
s396               50.84                       0.00
s397               50.84                       0.00
s398               50.84                       0.00
s399               50.84                       0.00
s400               50.84                       0.00
s401               50.84                       0.00
s402               50.84                       0.00
s403               50.84                       0.00
s404               50.84                       0.00
s405               50.84                       0.00
s406               50.84                       0.00
s407               50.84                       0.00
s408               50.84                       0.00
s409               50.84                       0.00
s410               50.84                       0.00
s411               50.84                       0.00
s412               50.84                       0.00
s413               50.84                       0.00
s414               50.84                       0.00
s415               50.84                       0.00
s416               50.84                       0.00
s417               50.84                       0.00
s418               50.84                       0.00
s419               50.84                       0.00
s420               50.84                       0.00
s421               50.84                       0.00
s422               50.84                       0.00
s423               50.84                       0.00
s424               50.84                       0.00
s425               50.84                       0.00
s426               50.84                       0.00
s427               50.84                       0.00
s428               50.84                       0.00
s429               50.84                       0.00
s430               50.84                       0.00
s431               50.84                       0.00
s432               50.84                       0.00
s433               50.84                       0.00
s434               50.84                       0.00
s435               50.84                       0.00
s436               50.84                       0.00
s437               50.84                       0.00
s438               50.84                       0.00
s439               50.84                       0.00
s440               50.84                       0.00
s441               50.84                       0.00
s442               50.84                       0.00
s443               50.84                       0.00
s444               50.84                       0.00
s445               50.84                       0.00
s446               50.84                       0.00
s447               50.84                       0.00
s448               50.84                       0.00
s449               50.84                       0.00
s450               50.84                       0.00
s451               50.84                       0.00
s452               50.84                       0.00
s453               50.84                       0.00
s454               50.84                       0.00
s455               50.84                       0.00
s456               50.84                       0.00
s457               50.84                       0.00
s458               50.84                       0.00
s459               50.84                       0.00
s460               50.84                       0.00
s461               50.84                       0.00
s462               50.84                       0.00
s463               50.84                       0.00
s464               50.84                       0.00
s465               50.84                       0.00
s466               50.84                       0.00
s467               50.84                       0.00
s468               50.84                       0.00
s469               50.84                       0.00
s470               50.84                       0.00
s471               50.84                       0.00
s472               50.84                       0.00
s473               50.84                       0.00
s474               50.84                       0.00
s475               50.84                       0.00
s476               50.84                       0.00
s477               50.84                       0.00
s478               50.84                       0.00
s479               50.84                       0.00
s480               50.84                       0.00
s481               50.84                       0.00
s482               50.84                       0.00
s483               50.84                       0.00
s484               50.84                       0.00
s485               50.84                       0.00
s486               50.84                       0.00
s487               50.84                       0.00
s488               50.84                       0.00
s489               50.84                       0.00
s490               50.84                       0.00
s491               50.84                       0.00
s492               50.84                       0.00
s493               50.84                       0.00
s494               50.84                       0.00
s495               50.84                       0.00
s496               50.84                       0.00
s497               50.84                       0.00
s498               50.84                       0.00
s499               50.84                       0.00
s500               50.84                       0.00
s501               50.84                       0.00
s502               50.84                       0.00
s503               50.84                       0.00
s504               50.84                       0.00
s505               50.84                       0.00
s506               50.84                       0.00
s507               50.84                       0.00
s508               50.84                       0.00
s509               50.84                       0.00
s510               50.84                       0.00
s511               50.84                       0.00
s512               50.84                       0.00
s513               50.84                       0.00
s514               50.84                       0.00
s515               50.84                       0.00
s516               50.84                       0.00
s517               50.84                       0.00
s518               50.84                       0.00
s519               50.84                       0.00
s520               50.84                       0.00
s521               50.84                       0.00
s522               50.84                       0.00
s523               50.84                       0.00
s524               50.84                       0.00
s525               50.84                       0.00
s526               50.84                       0.00
s527               50.84                       0.00
s528               50.84                       0.00
s529               50.84                       0.00
s530               50.84                       0.00
s531               50.84                       0.00
s532               50.84                       0.00
s533               50.84                       0.00
s534               50.84                       0.00
s535               50.84                       0.00
s536               50.84                       0.00
s537               50.84                       0.00
s538               50.84                       0.00
s539               50.84                       0.00
s540               50.84                       0.00
s541               50.84                       0.00
s542               50.84                       0.00
s543               50.84                       0.00
s544               50.84                       0.00
s545               50.84                       0.00
s546               50.84                       0.00
s547               50.84                       0.00
s548               50.84                       0.00
s549               50.84                       0.00
s550               50.84                       0.00
s551               50.84                       0.00
s552               50.84                       0.00
s553               50.84                       0.00
s554               50.84                       0.00
s555               50.84                       0.00
s556               50.84                       0.00
s557               50.84                       0.00
s558               50.84                       0.00
s559               50.84                       0.00
s560               50.84                       0.00
s561               50.84                       0.00
s562               50.84                       0.00
s563               50.84                       0.00
s564               50.84                       0.00
s565               50.84                       0.00
s566               50.84                       0.00
s567               50.84                       0.00
s568               50.84                       0.00
s569               50.84                       0.00
